20.3911 	EXP 	Stimuli: text = '+'
20.5842 	EXP 	New trial (rep=0, index=13): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 20.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'left')])
20.6054 	EXP 	Stimuli: autoDraw = False
20.6054 	EXP 	Stimuli: autoDraw = False
20.6054 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
20.6054 	EXP 	Stimuli: height = 0.05
20.6054 	EXP 	Stimuli: height = 0.05
20.6054 	EXP 	Stimuli: height = 0.05
20.6054 	EXP 	Stimuli: text = 'X'
20.6054 	EXP 	Stimuli: height = 0.15
20.6054 	EXP 	Stimuli: autoDraw = True
20.6054 	EXP 	Stimuli: height = 0.15
20.6054 	EXP 	Stimuli: height = 0.15
20.6054 	EXP 	Stimuli: height = 0.15
20.6054 	EXP 	Stimuli: text = 'X'
23.3984 	EXP 	New trial (rep=0, index=14): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 22.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
23.4185 	EXP 	Stimuli: autoDraw = False
23.4185 	EXP 	Stimuli: autoDraw = False
23.4185 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
23.4185 	EXP 	Stimuli: height = 0.15
23.4185 	EXP 	Stimuli: height = 0.15
23.4185 	EXP 	Stimuli: height = 0.15
23.4185 	EXP 	Stimuli: text = '+'
23.4185 	EXP 	Stimuli: height = 0.05
23.4185 	EXP 	Stimuli: autoDraw = True
23.4185 	EXP 	Stimuli: height = 0.05
23.4185 	EXP 	Stimuli: height = 0.05
23.4185 	EXP 	Stimuli: height = 0.05
23.4185 	EXP 	Stimuli: text = '+'
23.6149 	EXP 	New trial (rep=0, index=15): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 23.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'left')])
23.6351 	EXP 	Stimuli: autoDraw = False
23.6351 	EXP 	Stimuli: autoDraw = False
23.6351 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
23.6351 	EXP 	Stimuli: height = 0.05
23.6351 	EXP 	Stimuli: height = 0.05
23.6351 	EXP 	Stimuli: height = 0.05
23.6351 	EXP 	Stimuli: text = 'X'
23.6351 	EXP 	Stimuli: height = 0.15
23.6351 	EXP 	Stimuli: autoDraw = True
23.6351 	EXP 	Stimuli: height = 0.15
23.6351 	EXP 	Stimuli: height = 0.15
23.6351 	EXP 	Stimuli: height = 0.15
23.6351 	EXP 	Stimuli: text = 'X'
26.4297 	EXP 	New trial (rep=0, index=16): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 25.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
26.4528 	EXP 	Stimuli: autoDraw = False
26.4528 	EXP 	Stimuli: autoDraw = False
26.4528 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
26.4528 	EXP 	Stimuli: height = 0.15
26.4528 	EXP 	Stimuli: height = 0.15
26.4528 	EXP 	Stimuli: height = 0.15
26.4528 	EXP 	Stimuli: text = '+'
26.4528 	EXP 	Stimuli: height = 0.05
26.4528 	EXP 	Stimuli: autoDraw = True
26.4528 	EXP 	Stimuli: height = 0.05
26.4528 	EXP 	Stimuli: height = 0.05
26.4528 	EXP 	Stimuli: height = 0.05
26.4528 	EXP 	Stimuli: text = '+'
26.6463 	EXP 	New trial (rep=0, index=17): OrderedDict([('stimuli', 'H'), ('trial_type', 'non-target'), ('stimulus_onset', 26.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'right')])
26.6675 	EXP 	Stimuli: autoDraw = False
26.6675 	EXP 	Stimuli: autoDraw = False
26.6675 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
26.6675 	EXP 	Stimuli: height = 0.05
26.6675 	EXP 	Stimuli: height = 0.05
26.6675 	EXP 	Stimuli: height = 0.05
26.6675 	EXP 	Stimuli: text = 'H'
26.6675 	EXP 	Stimuli: height = 0.15
26.6675 	EXP 	Stimuli: autoDraw = True
26.6675 	EXP 	Stimuli: height = 0.15
26.6675 	EXP 	Stimuli: height = 0.15
26.6675 	EXP 	Stimuli: height = 0.15
26.6675 	EXP 	Stimuli: text = 'H'
29.4607 	EXP 	New trial (rep=0, index=18): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 28.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
29.4837 	EXP 	Stimuli: autoDraw = False
29.4837 	EXP 	Stimuli: autoDraw = False
29.4837 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
29.4837 	EXP 	Stimuli: height = 0.15
29.4837 	EXP 	Stimuli: height = 0.15
29.4837 	EXP 	Stimuli: height = 0.15
29.4837 	EXP 	Stimuli: text = '+'
29.4837 	EXP 	Stimuli: height = 0.05
29.4837 	EXP 	Stimuli: autoDraw = True
29.4837 	EXP 	Stimuli: height = 0.05
29.4837 	EXP 	Stimuli: height = 0.05
29.4837 	EXP 	Stimuli: height = 0.05
