14.6409 	EXP 	Stimuli: autoDraw = False
14.6409 	EXP 	Stimuli: autoDraw = False
14.6409 	EXP 	Stimuli: height = 0.1
14.6409 	EXP 	Stimuli: height = 0.1
14.6409 	EXP 	Stimuli: height = 0.1
14.6409 	EXP 	Stimuli: text = 'Q'
14.6409 	EXP 	Stimuli: height = 0.3
14.6409 	EXP 	Stimuli: autoDraw = True
14.6409 	EXP 	Stimuli: height = 0.3
14.6409 	EXP 	Stimuli: height = 0.3
14.6409 	EXP 	Stimuli: height = 0.3
14.6409 	EXP 	Stimuli: text = 'Q'
17.4277 	EXP 	New trial (rep=0, index=10): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 16.8), ('block_type', '0-back'), ('stimulus_size', 0.1), ('stimulus_duration', 0.2), ('cor_res', None)])
17.4558 	EXP 	Stimuli: autoDraw = False
17.4558 	EXP 	Stimuli: autoDraw = False
17.4558 	EXP 	Stimuli: height = 0.3
17.4558 	EXP 	Stimuli: height = 0.3
17.4558 	EXP 	Stimuli: height = 0.3
17.4558 	EXP 	Stimuli: text = '+'
17.4558 	EXP 	Stimuli: height = 0.1
17.4558 	EXP 	Stimuli: autoDraw = True
17.4558 	EXP 	Stimuli: height = 0.1
17.4558 	EXP 	Stimuli: height = 0.1
17.4558 	EXP 	Stimuli: height = 0.1
17.4558 	EXP 	Stimuli: text = '+'
17.6442 	EXP 	New trial (rep=0, index=11): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 17.0), ('block_type', '0-back'), ('stimulus_size', 0.3), ('stimulus_duration', 2.8), ('cor_res', 'left')])
17.6737 	EXP 	Stimuli: autoDraw = False
17.6737 	EXP 	Stimuli: autoDraw = False
17.6737 	EXP 	Stimuli: height = 0.1
17.6737 	EXP 	Stimuli: height = 0.1
17.6737 	EXP 	Stimuli: height = 0.1
17.6737 	EXP 	Stimuli: text = 'X'
17.6737 	EXP 	Stimuli: height = 0.3
17.6737 	EXP 	Stimuli: autoDraw = True
17.6737 	EXP 	Stimuli: height = 0.3
17.6737 	EXP 	Stimuli: height = 0.3
17.6737 	EXP 	Stimuli: height = 0.3
17.6737 	EXP 	Stimuli: text = 'X'
20.4585 	EXP 	New trial (rep=0, index=12): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 19.8), ('block_type', '0-back'), ('stimulus_size', 0.1), ('stimulus_duration', 0.2), ('cor_res', None)])
20.4800 	EXP 	Stimuli: autoDraw = False
20.4800 	EXP 	Stimuli: autoDraw = False
20.4800 	EXP 	Stimuli: height = 0.3
20.4800 	EXP 	Stimuli: height = 0.3
20.4800 	EXP 	Stimuli: height = 0.3
20.4800 	EXP 	Stimuli: text = '+'
20.4800 	EXP 	Stimuli: height = 0.1
20.4800 	EXP 	Stimuli: autoDraw = True
20.4800 	EXP 	Stimuli: height = 0.1
20.4800 	EXP 	Stimuli: height = 0.1
20.4800 	EXP 	Stimuli: height = 0.1
20.4800 	EXP 	Stimuli: text = '+'
20.6745 	EXP 	New trial (rep=0, index=13): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 20.0), ('block_type', '0-back'), ('stimulus_size', 0.3), ('stimulus_duration', 2.8), ('cor_res', 'left')])
20.6957 	EXP 	Stimuli: autoDraw = False
20.6957 	EXP 	Stimuli: autoDraw = False
20.6957 	EXP 	Stimuli: height = 0.1
20.6957 	EXP 	Stimuli: height = 0.1
20.6957 	EXP 	Stimuli: height = 0.1
20.6957 	EXP 	Stimuli: text = 'X'
20.6957 	EXP 	Stimuli: height = 0.3
20.6957 	EXP 	Stimuli: autoDraw = True
20.6957 	EXP 	Stimuli: height = 0.3
20.6957 	EXP 	Stimuli: height = 0.3
20.6957 	EXP 	Stimuli: height = 0.3
20.6957 	EXP 	Stimuli: text = 'X'
23.4894 	EXP 	New trial (rep=0, index=14): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 22.8), ('block_type', '0-back'), ('stimulus_size', 0.1), ('stimulus_duration', 0.2), ('cor_res', None)])
23.5116 	EXP 	Stimuli: autoDraw = False
23.5116 	EXP 	Stimuli: autoDraw = False
23.5116 	EXP 	Stimuli: height = 0.3
23.5116 	EXP 	Stimuli: height = 0.3
23.5116 	EXP 	Stimuli: height = 0.3
23.5116 	EXP 	Stimuli: text = '+'
23.5116 	EXP 	Stimuli: height = 0.1
23.5116 	EXP 	Stimuli: autoDraw = True
23.5116 	EXP 	Stimuli: height = 0.1
23.5116 	EXP 	Stimuli: height = 0.1
23.5116 	EXP 	Stimuli: height = 0.1
23.5116 	EXP 	Stimuli: text = '+'
23.7057 	EXP 	New trial (rep=0, index=15): OrderedDict([('stimuli', 'Q'), ('trial_type', 'non-target'), ('stimulus_onset', 23.0), ('block_type', '0-back'), ('stimulus_size', 0.3), ('stimulus_duration', 2.8), ('cor_res', 'right')])
23.7609 	EXP 	Stimuli: autoDraw = False
23.7609 	EXP 	Stimuli: autoDraw = False
23.7609 	EXP 	Stimuli: height = 0.1
23.7609 	EXP 	Stimuli: height = 0.1
23.7609 	EXP 	Stimuli: height = 0.1
23.7609 	EXP 	Stimuli: text = 'Q'
23.7609 	EXP 	Stimuli: height = 0.3
23.7609 	EXP 	Stimuli: autoDraw = True
23.7609 	EXP 	Stimuli: height = 0.3
23.7609 	EXP 	Stimuli: height = 0.3
23.7609 	EXP 	Stimuli: height = 0.3
23.7609 	EXP 	Stimuli: text = 'Q'
26.5531 	EXP 	New trial (rep=0, index=16): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 25.8), ('block_type', '0-back'), ('stimulus_size', 0.1), ('stimulus_duration', 0.2), ('cor_res', None)])
26.5739 	EXP 	Stimuli: autoDraw = False
