stimuli,trial_type,stimulus_onset,block_type,stimulus_size,stimulus_color,stimulus_duration,cor_res,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,trial.started,Stimuli.started,Stimuli.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
X,target,20.0,0-back,0.15,white,2.8,left,0,13,13,13,20.605418920516968,,20.584290027618408,20.605418920516968,23.418498039245605,23.397690057754517,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
+,fixation,22.8,0-back,0.05,white,0.2,None,0,14,14,14,23.418498039245605,,23.398454904556274,23.418498039245605,23.635114908218384,23.614228010177612,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
X,target,23.0,0-back,0.15,white,2.8,left,0,15,15,15,23.635114908218384,,23.614988088607788,23.635114908218384,26.452826023101807,26.428905963897705,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
+,fixation,25.8,0-back,0.05,white,0.2,None,0,16,16,16,26.452826023101807,,26.42977499961853,26.452826023101807,26.667495012283325,26.64545702934265,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
H,non-target,26.0,0-back,0.15,white,2.8,right,0,17,17,17,26.667495012283325,,26.646327018737793,26.667495012283325,29.483711004257202,29.459773063659668,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
+,fixation,28.8,0-back,0.05,white,0.2,None,0,18,18,18,29.483711004257202,,29.460757970809937,29.483711004257202,29.69829297065735,29.676060914993286,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
X,target,29.0,0-back,0.15,white,2.8,left,0,19,19,19,29.69829297065735,,29.676937103271484,29.69829297065735,32.51558995246887,32.490686893463135,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
+,rest,31.8,rest,0.05,white,10.0,None,0,20,20,20,32.51558995246887,,32.49166011810303,32.51558995246887,42.525075912475586,42.498740911483765,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
[1],cue,41.8,1-back,0.15,blue,2.0,None,0,21,21,21,42.525075912475586,,42.49961590766907,42.525075912475586,44.54532194137573,44.51719903945923,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
E,non-target,43.8,1-back,0.15,white,2.8,right,0,22,22,22,44.54532194137573,,44.518035888671875,44.54532194137573,47.365150928497314,47.344069957733154,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
+,fixation,46.6,1-back,0.05,white,0.2,None,0,23,23,23,47.365150928497314,,47.34483003616333,47.365150928497314,47.58158206939697,47.560884952545166,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
E,target,46.8,1-back,0.15,white,2.8,left,0,24,24,24,47.58158206939697,,47.56166410446167,47.58158206939697,50.3989200592041,50.37526202201843,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
+,fixation,49.6,1-back,0.05,white,0.2,None,0,25,25,25,50.3989200592041,,50.376177072525024,50.3989200592041,50.61434602737427,50.59177899360657,191522,001,2024-04-15_14h48.47.279,run_experiment,2023.2.3,60.24567652973283,2024-04-15 14h49.40.569259 +0200,
,,,,,,,,,,,,50.61434602737427,,50.5927209854126,50.61434602737427,,,,,,,,,,
