14.3201 	EXP 	New trial (rep=0, index=8): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 13.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
14.3447 	EXP 	Stimuli: autoDraw = False
14.3447 	EXP 	Stimuli: autoDraw = False
14.3447 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
14.3447 	EXP 	Stimuli: height = 0.15
14.3447 	EXP 	Stimuli: height = 0.15
14.3447 	EXP 	Stimuli: height = 0.15
14.3447 	EXP 	Stimuli: text = '+'
14.3447 	EXP 	Stimuli: height = 0.05
14.3447 	EXP 	Stimuli: autoDraw = True
14.3447 	EXP 	Stimuli: height = 0.05
14.3447 	EXP 	Stimuli: height = 0.05
14.3447 	EXP 	Stimuli: height = 0.05
14.3447 	EXP 	Stimuli: text = '+'
14.5367 	EXP 	New trial (rep=0, index=9): OrderedDict([('stimuli', 'E'), ('trial_type', 'non-target'), ('stimulus_onset', 14.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'right')])
14.5588 	EXP 	Stimuli: autoDraw = False
14.5588 	EXP 	Stimuli: autoDraw = False
14.5588 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
14.5588 	EXP 	Stimuli: height = 0.05
14.5588 	EXP 	Stimuli: height = 0.05
14.5588 	EXP 	Stimuli: height = 0.05
14.5588 	EXP 	Stimuli: text = 'E'
14.5588 	EXP 	Stimuli: height = 0.15
14.5588 	EXP 	Stimuli: autoDraw = True
14.5588 	EXP 	Stimuli: height = 0.15
14.5588 	EXP 	Stimuli: height = 0.15
14.5588 	EXP 	Stimuli: height = 0.15
14.5588 	EXP 	Stimuli: text = 'E'
17.3511 	EXP 	New trial (rep=0, index=10): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 16.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
17.3751 	EXP 	Stimuli: autoDraw = False
17.3751 	EXP 	Stimuli: autoDraw = False
17.3751 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
17.3751 	EXP 	Stimuli: height = 0.15
17.3751 	EXP 	Stimuli: height = 0.15
17.3751 	EXP 	Stimuli: height = 0.15
17.3751 	EXP 	Stimuli: text = '+'
17.3751 	EXP 	Stimuli: height = 0.05
17.3751 	EXP 	Stimuli: autoDraw = True
17.3751 	EXP 	Stimuli: height = 0.05
17.3751 	EXP 	Stimuli: height = 0.05
17.3751 	EXP 	Stimuli: height = 0.05
17.3751 	EXP 	Stimuli: text = '+'
17.5673 	EXP 	New trial (rep=0, index=11): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 17.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'left')])
17.5898 	EXP 	Stimuli: autoDraw = False
17.5898 	EXP 	Stimuli: autoDraw = False
17.5898 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
17.5898 	EXP 	Stimuli: height = 0.05
17.5898 	EXP 	Stimuli: height = 0.05
17.5898 	EXP 	Stimuli: height = 0.05
17.5898 	EXP 	Stimuli: text = 'X'
17.5898 	EXP 	Stimuli: height = 0.15
17.5898 	EXP 	Stimuli: autoDraw = True
17.5898 	EXP 	Stimuli: height = 0.15
17.5898 	EXP 	Stimuli: height = 0.15
17.5898 	EXP 	Stimuli: height = 0.15
17.5898 	EXP 	Stimuli: text = 'X'
20.3819 	EXP 	New trial (rep=0, index=12): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 19.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
20.4057 	EXP 	Stimuli: autoDraw = False
20.4057 	EXP 	Stimuli: autoDraw = False
20.4057 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
20.4057 	EXP 	Stimuli: height = 0.15
20.4057 	EXP 	Stimuli: height = 0.15
20.4057 	EXP 	Stimuli: height = 0.15
20.4057 	EXP 	Stimuli: text = '+'
20.4057 	EXP 	Stimuli: height = 0.05
20.4057 	EXP 	Stimuli: autoDraw = True
20.4057 	EXP 	Stimuli: height = 0.05
20.4057 	EXP 	Stimuli: height = 0.05
